variant,member,is_seed,num_variables,objective_cost,social_value,profit,emissions_value,pv_revenue,crop_revenue,yearly_biomass,total_panels,mean_tracking_deg,max_tracking_deg
SingleAxisNOSeed,10,0,103,-156830.431531062,156830.431531062,-376748.232061968,533578.66359303,180383.681800915,230758.188751009,668.393616953202,352,31.2069506038339,59.8720669134049
SingleAxisNOSeed,11,0,103,-129801.083208919,129801.083208919,-383129.771970675,512930.855179593,173901.311128493,230859.019514725,668.685674362843,352,31.0483703578571,59.4564086642986
SingleAxisNOSeed,12,0,103,-137390.557380924,137390.557380924,-381075.570154401,518466.127535324,175849.740269267,230964.792190224,668.992046074003,352,29.540777525564,59.4183253642432
SingleAxisNOSeed,13,0,103,-141411.484530863,141411.484530863,-380476.612780192,521888.097311055,176543.794196971,230869.695636729,668.716597866967,352,31.2157473276576,59.8589397348501
SingleAxisNOSeed,14,0,103,-171657.345094832,171657.345094832,-373010.984014262,544668.329109093,184261.162298,230617.956301631,667.9874321302,352,31.1174546905132,59.9122845012614
SingleAxisNOSeed,15,0,103,-140799.549562162,140799.549562162,-380094.60583513,520894.155397292,176825.797147684,230969.699631078,669.006260530097,352,34.7644265248364,59.7335363844148
SingleAxisNOSeed,16,0,103,-138782.810711873,138782.810711873,-381180.381224363,519963.191936237,175777.582457723,230932.138931806,668.897465553947,352,26.6039965913253,54.6397357609521
SingleAxisNOSeed,17,0,103,-152058.96808585,152058.96808585,-377813.621277974,529872.589363825,179482.9865633,230593.494772618,667.916579043938,352,29.7423822156762,59.7734702304238
SingleAxisNOSeed,18,0,103,-147753.789193099,147753.789193099,-378561.772800164,526315.561993263,178565.734997804,230762.594815924,668.406379168406,352,29.0454035611001,59.2903423660073
SingleAxisNOSeed,19,0,103,-110336.140091967,110336.140091967,-388233.788260714,498569.928352682,168617.85924595,231038.455107228,669.205411518576,352,29.2804802016709,59.9042598163607
SingleAxisNOSeed,20,0,103,-152291.515364716,152291.515364716,-377635.015419232,529926.530783948,179630.728315066,230624.358879593,668.005977267278,352,33.6678512820376,59.5492345092538
SingleAxisOLDRules,1,1,103,-290980.655143577,290980.655143577,-344145.921258391,635126.576401968,212910.743437696,230833.437917805,668.611576987642,352,9.59610598282671,51.4692869867387
SingleAxisOLDRules,2,0,103,-278127.177455476,278127.177455476,-347140.582918856,625267.760374332,209900.606657687,230848.913037349,668.656400840614,352,11.0616619155098,53.2426206128554
SingleAxisOLDRules,3,0,103,-270640.491661035,270640.491661035,-348997.529421165,619638.0210822,208058.298607144,230834.274585583,668.614000405011,352,10.7623038185971,57.5264362150137
SingleAxisOLDRules,4,0,103,-281029.388382496,281029.388382496,-346644.135256422,627673.523638918,210450.179550972,230795.787806498,668.502523028555,352,11.5940768167891,56.847386290319
SingleAxisOLDRules,5,0,103,-275569.331777462,275569.331777462,-347834.833776474,623404.165553935,209219.693916862,230835.574920557,668.61776683948,352,11.3365484687654,56.7854499650618
SingleAxisOLDRules,6,0,103,-282257.884820997,282257.884820997,-346300.116364369,628558.001185366,210755.645641374,230834.340608148,668.614191640092,352,10.9528253321047,55.2402189828951
SingleAxisOLDRules,7,0,103,-279340.575024037,279340.575024037,-346889.419018023,626229.99404206,210130.82726636,230869.856329509,668.717063315361,352,11.9702953302612,55.4594289126853
SingleAxisOLDRules,8,0,103,-267827.078803631,267827.078803631,-349552.406797604,617379.485601235,207541.639317428,230796.05649886,668.503301298918,352,10.8368144474739,57.4505611833112
SingleAxisOLDRules,9,0,103,-269849.968633494,269849.968633494,-349093.212123053,618943.180756547,207991.554607694,230805.335883144,668.530179136964,352,11.124020980234,52.3769578658985
