Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,983795,-,-,-,42.29,-83.74,-5,263,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,DNI,Solar Zenith Angle,Precipitable Water,Temperature,Relative Humidity,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,0,30,0,0,160.49,0.5,-2.5,87.53,271,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,1,30,0,0,157.87,0.5,-2.1,87.27,282,6.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,2,30,0,0,149.86,0.5,-1.9,87.2,290,5.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,3,30,0,0,139.66,0.5,-1.8,86.58,294,5.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,4,30,0,0,128.72,0.6000000000000001,-1.9,86.64,296,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,5,30,0,0,117.64,0.5,-1.9,86.10000000000001,301,4.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,6,30,0,0,106.78,0.5,-2.3,87.04,307,4.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,7,30,0,0,96.4,0.5,-2.6,85.8,313,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,8,30,14,0,86.59,0.5,-2.1,80.18,317,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,9,30,31,0,78.32000000000001,0.5,-1.2,75.26,325,5.1000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,10,30,46,0,71.59,0.5,-0.5,67.54,331,5.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,11,30,142,0,67.02,0.5,-0.1,63.4,333,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,12,30,226,3,65.11,0.4,0,62.15,332,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,13,30,164,0,66.12,0.5,-0.1,61.84,331,5.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,14,30,206,10,69.89,0.5,-0.6,63.76,330,5.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,15,30,60,0,76.01,0.5,-1.4,67.59,330,4.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,16,30,18,0,83.89,0.5,-2.4,73.9,331,3.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,17,30,0,0,93.29,0.5,-3.2,78.02,333,3.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,18,30,0,0,103.46000000000001,0.5,-3.8,80.71000000000001,336,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,19,30,0,0,114.2,0.5,-4.2,82.09,341,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,20,30,0,0,125.24000000000001,0.5,-4.6,83.43,346,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,21,30,0,0,136.26,0.5,-4.9,84.55,350,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,22,30,0,0,146.78,0.5,-5.2,85.43,353,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,23,30,0,0,155.70000000000002,0.5,-5.4,84.68,353,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,0,30,0,0,160.38,0.5,-5.7,84.55,351,2.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
